# Points,Area
10,1.01176
20,0.984635
30,0.993678
40,1.01176
50,1.01176
60,1.01176
70,1.01951
80,1.02533
90,1.02985
100,1.03347
110,1.03149
120,1.03889
130,1.03681
140,1.02727
150,1.02262
160,1.02194
170,1.02134
180,1.01779
190,1.02033
200,1.02262
210,1.02727
220,1.02656
230,1.02592
240,1.02081
250,1.02479
260,1.02846
270,1.02985
280,1.03308
290,1.03047
300,1.03347
310,1.02752
320,1.03041
330,1.02492
340,1.02134
350,1.02417
360,1.02231
370,1.02056
380,1.02176
390,1.02011
400,1.02126
410,1.02235
420,1.0221
430,1.01933
440,1.0167
450,1.01779
460,1.01648
470,1.01754
480,1.01855
490,1.01951
500,1.01719
510,1.01815
520,1.01802
530,1.01791
540,1.01779
550,1.0167
560,1.01661
570,1.01747
580,1.01831
590,1.01912
600,1.02081
610,1.02333
620,1.02227
630,1.02124
640,1.02024
650,1.01844
660,1.0167
670,1.015
680,1.01575
690,1.01491
700,1.01486
710,1.01253
720,1.01252
730,1.01176
740,1.0125
750,1.01104
760,1.01034
770,1.01035
780,1.01176
790,1.01108
800,1.01041
810,1.01176
820,1.01243
830,1.01242
840,1.01306
850,1.0124
860,1.01366
870,1.01239
880,1.01176
890,1.01176
900,1.01056
910,1.01057
920,1.01235
930,1.01293
940,1.01292
950,1.01176
960,1.01176
970,1.01176
980,1.01066
990,1.01067
1000,1.01176
1010,1.01176
1020,1.01123
1030,1.01124
1040,1.01124
1050,1.01125
1060,1.00972
1070,1.01075
1080,1.01126
1090,1.01027
1100,1.0093
1110,1.00883
1120,1.00789
1130,1.00696
1140,1.00748
1150,1.00799
1160,1.00802
1170,1.00898
1180,1.00992
1190,1.00903
1200,1.0086
1210,1.00952
1220,1.01043
1230,1.01176
1240,1.0122
1250,1.0109
1260,1.00961
1270,1.0092
1280,1.00922
1290,1.00966
1300,1.00968
1310,1.00886
1320,1.0093
1330,1.0085
1340,1.00893
1350,1.00855
1360,1.00857
1370,1.00939
1380,1.0098
1390,1.01059
1400,1.01021
1410,1.00984
1420,1.00985
1430,1.00987
1440,1.0095
1450,1.00989
1460,1.01028
1470,1.01029
1480,1.00993
1490,1.00921
1500,1.00996
1510,1.00961
1520,1.00926
1530,1.00928
1540,1.0093
1550,1.00966
1560,1.00968
1570,1.00969
1580,1.00936
1590,1.00903
1600,1.01007
1610,1.0094
1620,1.00908
1630,1.00843
1640,1.00846
1650,1.00913
1660,1.00915
1670,1.00916
1680,1.00853
1690,1.00855
1700,1.00857
1710,1.00891
1720,1.00924
1730,1.00988
1740,1.00927
1750,1.00959
1760,1.00868
1770,1.0087
1780,1.00872
1790,1.00722
1800,1.00754
1810,1.00697
1820,1.0064
1830,1.00613
1840,1.00528
1850,1.0059
1860,1.00593
1870,1.00596
1880,1.00599
1890,1.00602
1900,1.00662
1910,1.00608
1920,1.00639
1930,1.00642
1940,1.00645
1950,1.0062
1960,1.0065
1970,1.00626
1980,1.00656
1990,1.00604
2000,1.00525
2010,1.00556
2020,1.00585
2030,1.00562
2040,1.00565
2050,1.00541
2060,1.00623
2070,1.00626
2080,1.00576
2090,1.00631
2100,1.00634
2110,1.00662
2120,1.0069
2130,1.00667
2140,1.00619
2150,1.00571
2160,1.00599
2170,1.00601
2180,1.00629
2190,1.00656
2200,1.00634
2210,1.00636
2220,1.00614
2230,1.00568
2240,1.00595
2250,1.00622
2260,1.00672
2270,1.00627
2280,1.007
2290,1.00702
2300,1.00728
2310,1.0073
2320,1.00779
2330,1.0078
2340,1.00805
2350,1.00784
2360,1.00809
2370,1.0081
2380,1.00766
2390,1.0079
2400,1.00769
2410,1.00771
2420,1.00773
2430,1.00819
2440,1.00821
2450,1.00822
2460,1.00823
2470,1.00803
2480,1.00826
2490,1.00828
2500,1.00807
2510,1.0083
2520,1.00853
2530,1.00876
2540,1.00899
2550,1.00878
2560,1.00837
2570,1.00839
2580,1.00798
2590,1.00778
2600,1.00801
2610,1.00802
2620,1.00845
2630,1.00826
2640,1.00868
2650,1.0089
2660,1.00891
2670,1.00933
2680,1.00954
2690,1.00975
2700,1.00935
2710,1.00936
2720,1.00957
2730,1.00978
2740,1.00959
2750,1.0094
2760,1.00921
2770,1.00941
2780,1.01001
2790,1.01021
2800,1.01021
2810,1.00964
2820,1.00984
2830,1.01023
2840,1.01004
2850,1.01024
2860,1.01025
2870,1.01082
2880,1.01063
2890,1.01064
2900,1.01027
2910,1.00971
2920,1.00953
2930,1.00973
2940,1.00936
2950,1.00937
2960,1.00938
2970,1.00902
2980,1.00921
2990,1.00922
3000,1.00869
3010,1.00852
3020,1.00817
3030,1.00818
3040,1.00802
3050,1.00785
3060,1.00822
3070,1.00805
3080,1.00824
3090,1.00825
3100,1.00774
3110,1.00793
3120,1.00794
3130,1.00743
3140,1.00727
3150,1.00694
3160,1.0073
3170,1.00731
3180,1.00682
3190,1.00683
3200,1.00668
3210,1.00669
3220,1.00688
3230,1.00656
3240,1.00657
3250,1.00692
3260,1.0066
3270,1.00662
3280,1.00647
3290,1.00632
3300,1.00617
3310,1.00603
3320,1.00572
3330,1.0059
3340,1.00559
3350,1.00512
3360,1.0053
3370,1.00516
3380,1.00518
3390,1.00504
3400,1.0049
3410,1.0046
3420,1.00431
3430,1.00401
3440,1.00419
3450,1.00453
3460,1.00455
3470,1.00457
3480,1.00444
3490,1.00415
3500,1.00463
3510,1.0045
3520,1.00436
3530,1.00454
3540,1.00441
3550,1.00443
3560,1.0043
3570,1.00447
3580,1.00449
3590,1.00451
3600,1.00453
3610,1.00455
3620,1.00472
3630,1.00459
3640,1.00401
3650,1.00374
3660,1.00376
3670,1.00378
3680,1.0041
3690,1.00397
3700,1.00399
3710,1.00416
3720,1.00418
3730,1.00376
3740,1.00335
3750,1.00366
3760,1.00383
3770,1.00385
3780,1.00373
3790,1.00332
3800,1.00305
3810,1.00265
3820,1.00253
3830,1.00298
3840,1.00272
3850,1.00274
3860,1.00249
3870,1.00265
3880,1.00309
3890,1.00312
3900,1.003
3910,1.00288
3920,1.00277
3930,1.00251
3940,1.0024
3950,1.00256
3960,1.00286
3970,1.00261
3980,1.00263
3990,1.00252
4000,1.00281
4010,1.00283
4020,1.00299
4030,1.00328
4040,1.00277
4050,1.00306
4060,1.00281
4070,1.00297
4080,1.00285
4090,1.00301
4100,1.00263
4110,1.00279
4120,1.00255
4130,1.00257
4140,1.0022
4150,1.00235
4160,1.00211
4170,1.00201
4180,1.00203
4190,1.00231
4200,1.00233
4210,1.00223
4220,1.00251
4230,1.00278
4240,1.00268
4250,1.00283
4260,1.00285
4270,1.00274
4280,1.00276
4290,1.00291
4300,1.0028
4310,1.00295
4320,1.00297
4330,1.00274
4340,1.00226
4350,1.00241
4360,1.00243
4370,1.00258
4380,1.0026
4390,1.00262
4400,1.00276
4410,1.00241
4420,1.00231
4430,1.00246
4440,1.00272
4450,1.00238
4460,1.00227
4470,1.00205
4480,1.00195
4490,1.00185
4500,1.00188
4510,1.00178
4520,1.00168
4530,1.00206
4540,1.00196
4550,1.00187
4560,1.00177
4570,1.00179
4580,1.00181
4590,1.00183
4600,1.00162
4610,1.00152
4620,1.00155
4630,1.00169
4640,1.00194
4650,1.00208
4660,1.00222
4670,1.00212
4680,1.00191
4690,1.00193
4700,1.00172
4710,1.00197
4720,1.00165
4730,1.00144
4740,1.00146
4750,1.00171
4760,1.0015
4770,1.00153
4780,1.00132
4790,1.00168
4800,1.00136
4810,1.0015
4820,1.00129
4830,1.00132
4840,1.00145
4850,1.00181
4860,1.00172
4870,1.00174
4880,1.00153
4890,1.00156
4900,1.00169
4910,1.00182
4920,1.00162
