x,y
1.89641,0.440321
1.03061,0.545118
1.61336,0.667105
1.547,0.520313
1.28398,0.671013
1.51223,0.591873
1.32864,0.722307
2.51721,0.375368
1.08101,0.785939
1.20505,0.732259
2.48495,0.415807
1.24043,0.85838
1.78996,0.504983
2.24666,0.464171
1.27888,0.396246
1.80344,0.581592
1.0922,0.838127
1.13194,0.903971
1.65309,0.554627
1.70287,0.539635
2.08035,0.488435
2.28152,0.468251
1.63015,0.541684
1.09303,0.858382
2.11947,0.433171
2.2713,0.449862
1.11511,0.680967
1.53442,0.480044
1.25054,0.54686
1.13973,0.609909
1.05256,0.976871
1.26643,0.488054
1.44116,0.812092
1.73419,0.469709
2.19124,0.484736
1.23954,0.823131
1.06402,0.43191
1.02283,0.413428
2.25862,0.391378
1.19589,0.792782
1.50131,0.612957
1.21433,0.53806
1.35384,0.686949
1.736,0.684305
1.18822,0.805003
1.5712,0.666473
1.03534,0.398236
1.44638,0.710283
1.03713,0.605548
1.33669,0.63434
1.5589,0.700132
1.07783,0.514209
1.71178,0.443664
1.52492,0.681212
1.52588,0.603454
1.29192,0.566873
1.1719,0.521203
1.63257,0.509713
1.58897,0.742039
1.67021,0.661966
1.76535,0.645938
1.52556,0.732335
1.00096,0.727694
2.16198,0.390598
1.20774,0.395816
2.00525,0.534734
1.487,0.459855
1.80207,0.646183
1.19305,0.623259
1.89007,0.4291
2.20866,0.452978
1.36935,0.677186
1.19608,0.812494
1.18738,0.551511
1.68591,0.586389
1.12088,0.758711
1.35753,0.518649
1.10017,0.809144
1.50921,0.810392
1.18449,0.924616
1.87411,0.441172
2.40442,0.442772
1.1179,0.44676
1.70821,0.516278
2.09252,0.535194
1.71888,0.418871
1.43126,0.832251
1.73863,0.454189
1.49607,0.389408
1.33509,0.537341
1.21369,0.462316
1.47001,0.708474
2.00585,0.51205
1.15428,0.389806
2.39128,0.445843
1.03326,0.640243
1.68032,0.508429
1.9361,0.383851
2.17505,0.472012
1.17536,0.558498
1.02724,0.71077
2.56773,0.422183
1.68343,0.596106
1.03913,0.925546
1.39518,0.568435
1.16191,0.432589
1.0874,0.651216
1.28468,0.555146
1.14773,0.944646
2.47671,0.401767
1.00488,0.368425
